Date,Time,Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2025-05-03,2025-05-03 00:00,-1.6636693584334592,54,-0.30977707903221374,Patchy light drizzle
2025-05-03,2025-05-03 01:00,-1.6438384763405953,53,-0.7794516275373087,Patchy rain nearby
2025-05-03,2025-05-03 02:00,-1.762823768897778,57,-0.30977707903221374,Clear 
2025-05-03,2025-05-03 03:00,-1.8421472972692325,57,-0.9621028408448458,Clear 
2025-05-03,2025-05-03 04:00,-1.961132589826415,57,-1.32740526745992,Clear 
2025-05-03,2025-05-03 05:00,-2.0999487644764607,57,-1.066474962734867,Clear 
2025-05-03,2025-05-03 06:00,-2.0007943540121422,54,-1.2491261760424042,Sunny
2025-05-03,2025-05-03 07:00,-1.3463752449476396,46,-2.2667543644701103,Sunny
2025-05-03,2025-05-03 08:00,-1.0092502493689566,43,-1.7188007245474992,Sunny
2025-05-03,2025-05-03 09:00,-0.7316179000688647,39,-0.7794516275373087,Sunny
2025-05-03,2025-05-03 10:00,-0.4539855507687723,36,-0.30977707903221374,Sunny
2025-05-03,2025-05-03 11:00,-0.23584584774727183,34,-0.30977707903221374,Sunny
2025-05-03,2025-05-03 12:00,-0.03753702681863467,32,-0.2054049571421925,Thundery outbreaks in nearby
2025-05-03,2025-05-03 13:00,0.1012791478314112,30,-0.12712586572467646,Sunny
2025-05-03,2025-05-03 14:00,0.1607717941100025,30,-0.2054049571421925,Thundery outbreaks in nearby
2025-05-03,2025-05-03 15:00,0.1806026762028665,29,-0.8577307189548248,Patchy rain nearby
2025-05-03,2025-05-03 16:00,0.20043355829572979,29,-1.431777389349941,Sunny
2025-05-03,2025-05-03 17:00,0.20043355829572979,28,-1.32740526745992,Sunny
2025-05-03,2025-05-03 18:00,0.02195561945995662,31,-1.431777389349941,Sunny
2025-05-03,2025-05-03 19:00,-0.5531399612330908,36,-0.9621028408448458,Clear 
2025-05-03,2025-05-03 20:00,-1.0489120135546839,46,-1.5361495112399621,Patchy rain nearby
2025-05-03,2025-05-03 21:00,-1.1678973061118663,49,-0.2054049571421925,Patchy rain nearby
2025-05-03,2025-05-03 22:00,-1.3265443628547762,50,-0.12712586572467646,Clear 
2025-05-03,2025-05-03 23:00,-1.7033311226191865,52,-0.8577307189548248,Patchy rain nearby
2025-05-04,2025-05-04 00:00,-1.445529655411958,55,-0.7794516275373087,Patchy light rain in area with thunder
2025-05-04,2025-05-04 01:00,-1.624007594247732,60,-1.9014519378550363,Patchy rain nearby
2025-05-04,2025-05-04 02:00,-1.6835002405263233,62,-0.6750795056472875,Clear 
2025-05-04,2025-05-04 03:00,-1.6636693584334592,61,0.3425486827804185,Clear 
2025-05-04,2025-05-04 04:00,-1.624007594247732,60,-0.30977707903221374,Clear 
2025-05-04,2025-05-04 05:00,-1.7429928868049138,61,-0.8577307189548248,Clear 
2025-05-04,2025-05-04 06:00,-1.5843458300620048,58,-0.9621028408448458,Sunny
2025-05-04,2025-05-04 07:00,-1.0489120135546839,49,-1.5361495112399621,Partly Cloudy 
2025-05-04,2025-05-04 08:00,-0.5928017254188189,41,-2.0841031511625734,Thundery outbreaks in nearby
2025-05-04,2025-05-04 09:00,-0.3151693761187264,37,-1.32740526745992,Thundery outbreaks in nearby
2025-05-04,2025-05-04 10:00,-0.017706144725770673,33,-0.5968004142297718,Thundery outbreaks in nearby
2025-05-04,2025-05-04 11:00,0.3194188508529124,29,0.9165953531755352,Sunny
2025-05-04,2025-05-04 12:00,0.41857326131723094,28,2.795293547195916,Patchy rain nearby
2025-05-04,2025-05-04 13:00,0.33924973294577637,28,1.7515723282957048,Sunny
2025-05-04,2025-05-04 14:00,0.35908061503864036,27,0.3425486827804185,Sunny
2025-05-04,2025-05-04 15:00,0.0021247373670926217,33,-0.2054049571421925,Patchy rain nearby
2025-05-04,2025-05-04 16:00,-0.11686055519008925,35,0.551292926560461,Sunny
2025-05-04,2025-05-04 17:00,-0.17635320146868055,36,1.0209674750655564,Sunny
2025-05-04,2025-05-04 18:00,-0.5531399612330908,42,1.490642023570652,Sunny
2025-05-04,2025-05-04 19:00,-1.0489120135546839,49,1.099246566483072,Clear 
2025-05-04,2025-05-04 20:00,-1.2472208344833209,49,0.3425486827804185,Clear 
2025-05-04,2025-05-04 21:00,-1.2273899523904577,47,-0.12712586572467646,Clear 
2025-05-04,2025-05-04 22:00,-1.267051716576185,45,-0.4924282923397506,Clear 
2025-05-04,2025-05-04 23:00,-1.3265443628547762,45,-0.7794516275373087,Clear 
2025-05-05,2025-05-05 00:00,-1.425698773319095,45,-0.9621028408448458,Clear 
2025-05-05,2025-05-05 01:00,-1.5248531837834134,46,-0.4924282923397506,Clear 
2025-05-05,2025-05-05 02:00,-1.5645149479691407,46,-0.8577307189548248,Clear 
2025-05-05,2025-05-05 03:00,-1.5645149479691407,45,-0.9621028408448458,Clear 
2025-05-05,2025-05-05 04:00,-1.5843458300620048,45,-0.6750795056472875,Clear 
2025-05-05,2025-05-05 05:00,-1.624007594247732,44,-1.431777389349941,Clear 
2025-05-05,2025-05-05 06:00,-1.445529655411958,43,-1.6144286026574781,Sunny
2025-05-05,2025-05-05 07:00,-0.9695884851832292,37,-1.6144286026574781,Sunny
2025-05-05,2025-05-05 08:00,-0.5729708433259548,32,-2.4754986082501524,Sunny
2025-05-05,2025-05-05 09:00,-0.2556767298401351,29,-1.5361495112399621,Sunny
2025-05-05,2025-05-05 10:00,0.061617383645683914,27,-0.8577307189548248,Sunny
2025-05-05,2025-05-05 11:00,0.27975708666718435,25,-0.2054049571421925,Sunny
2025-05-05,2025-05-05 12:00,0.45823502550295897,24,0.2642695913629029,Partly Cloudy 
2025-05-05,2025-05-05 13:00,0.5970512001530042,22,0.551292926560461,Partly Cloudy 
2025-05-05,2025-05-05 14:00,0.5772203180601401,22,0.551292926560461,Partly Cloudy 
2025-05-05,2025-05-05 15:00,0.4780659075958215,23,-0.12712586572467646,Partly Cloudy 
2025-05-05,2025-05-05 16:00,0.4384041434100949,23,-0.7794516275373087,Partly Cloudy 
2025-05-05,2025-05-05 17:00,0.45823502550295897,22,-1.1447540541523828,Sunny
2025-05-05,2025-05-05 18:00,0.3194188508529124,24,-1.066474962734867,Sunny
2025-05-05,2025-05-05 19:00,-0.3151693761187264,28,-0.8577307189548248,Clear 
2025-05-05,2025-05-05 20:00,-0.4936473149545003,30,-1.32740526745992,Clear 
2025-05-05,2025-05-05 21:00,-0.5531399612330908,31,-1.1447540541523828,Clear 
2025-05-05,2025-05-05 22:00,-0.7117870179760007,33,-0.5968004142297718,Clear 
2025-05-05,2025-05-05 23:00,-0.771279664254592,35,-0.9621028408448458,Clear 
2025-05-06,2025-05-06 00:00,-0.8704340747189107,37,-1.32740526745992,Clear 
2025-05-06,2025-05-06 01:00,-0.929926720997502,38,-0.8577307189548248,Clear 
2025-05-06,2025-05-06 02:00,-0.9894193672760933,39,-0.5968004142297718,Clear 
2025-05-06,2025-05-06 03:00,-1.0290811314618205,39,-0.9621028408448458,Clear 
2025-05-06,2025-05-06 04:00,-1.108404659833275,40,-0.8577307189548248,Clear 
2025-05-06,2025-05-06 05:00,-1.0885737777404119,39,-0.6750795056472875,Partly Cloudy 
2025-05-06,2025-05-06 06:00,-1.108404659833275,39,-0.7794516275373087,Sunny
2025-05-06,2025-05-06 07:00,-0.5531399612330908,34,-0.9621028408448458,Sunny
2025-05-06,2025-05-06 08:00,-0.17635320146868055,30,-0.7794516275373087,Sunny
2025-05-06,2025-05-06 09:00,0.1211100299242752,27,-0.5968004142297718,Sunny
2025-05-06,2025-05-06 10:00,0.39874237922436695,24,-0.4924282923397506,Sunny
