Date,Time,Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2025-05-03,2025-05-03 00:00,22.5,54,9.7,Patchy light drizzle
2025-05-03,2025-05-03 01:00,22.6,53,7.9,Patchy rain nearby
2025-05-03,2025-05-03 02:00,22.0,57,9.7,Clear 
2025-05-03,2025-05-03 03:00,21.6,57,7.2,Clear 
2025-05-03,2025-05-03 04:00,21.0,57,5.8,Clear 
2025-05-03,2025-05-03 05:00,20.3,57,6.8,Clear 
2025-05-03,2025-05-03 06:00,20.8,54,6.1,Sunny
2025-05-03,2025-05-03 07:00,24.1,46,2.2,Sunny
2025-05-03,2025-05-03 08:00,25.8,43,4.3,Sunny
2025-05-03,2025-05-03 09:00,27.2,39,7.9,Sunny
2025-05-03,2025-05-03 10:00,28.6,36,9.7,Sunny
2025-05-03,2025-05-03 11:00,29.7,34,9.7,Sunny
2025-05-03,2025-05-03 12:00,30.7,32,10.1,Thundery outbreaks in nearby
2025-05-03,2025-05-03 13:00,31.4,30,10.4,Sunny
2025-05-03,2025-05-03 14:00,31.7,30,10.1,Thundery outbreaks in nearby
2025-05-03,2025-05-03 15:00,31.8,29,7.6,Patchy rain nearby
2025-05-03,2025-05-03 16:00,31.9,29,5.4,Sunny
2025-05-03,2025-05-03 17:00,31.9,28,5.8,Sunny
2025-05-03,2025-05-03 18:00,31.0,31,5.4,Sunny
2025-05-03,2025-05-03 19:00,28.1,36,7.2,Clear 
2025-05-03,2025-05-03 20:00,25.6,46,5.0,Patchy rain nearby
2025-05-03,2025-05-03 21:00,25.0,49,10.1,Patchy rain nearby
2025-05-03,2025-05-03 22:00,24.2,50,10.4,Clear 
2025-05-03,2025-05-03 23:00,22.3,52,7.6,Patchy rain nearby
2025-05-04,2025-05-04 00:00,23.6,55,7.9,Patchy light rain in area with thunder
2025-05-04,2025-05-04 01:00,22.7,60,3.6,Patchy rain nearby
2025-05-04,2025-05-04 02:00,22.4,62,8.3,Clear 
2025-05-04,2025-05-04 03:00,22.5,61,12.2,Clear 
2025-05-04,2025-05-04 04:00,22.7,60,9.7,Clear 
2025-05-04,2025-05-04 05:00,22.1,61,7.6,Clear 
2025-05-04,2025-05-04 06:00,22.9,58,7.2,Sunny
2025-05-04,2025-05-04 07:00,25.6,49,5.0,Partly Cloudy 
2025-05-04,2025-05-04 08:00,27.9,41,2.9,Thundery outbreaks in nearby
2025-05-04,2025-05-04 09:00,29.3,37,5.8,Thundery outbreaks in nearby
2025-05-04,2025-05-04 10:00,30.8,33,8.6,Thundery outbreaks in nearby
2025-05-04,2025-05-04 11:00,32.5,29,14.4,Sunny
2025-05-04,2025-05-04 12:00,33.0,28,21.6,Patchy rain nearby
2025-05-04,2025-05-04 13:00,32.6,28,17.6,Sunny
2025-05-04,2025-05-04 14:00,32.7,27,12.2,Sunny
2025-05-04,2025-05-04 15:00,30.9,33,10.1,Patchy rain nearby
2025-05-04,2025-05-04 16:00,30.3,35,13.0,Sunny
2025-05-04,2025-05-04 17:00,30.0,36,14.8,Sunny
2025-05-04,2025-05-04 18:00,28.1,42,16.6,Sunny
2025-05-04,2025-05-04 19:00,25.6,49,15.1,Clear 
2025-05-04,2025-05-04 20:00,24.6,49,12.2,Clear 
2025-05-04,2025-05-04 21:00,24.7,47,10.4,Clear 
2025-05-04,2025-05-04 22:00,24.5,45,9.0,Clear 
2025-05-04,2025-05-04 23:00,24.2,45,7.9,Clear 
2025-05-05,2025-05-05 00:00,23.7,45,7.2,Clear 
2025-05-05,2025-05-05 01:00,23.2,46,9.0,Clear 
2025-05-05,2025-05-05 02:00,23.0,46,7.6,Clear 
2025-05-05,2025-05-05 03:00,23.0,45,7.2,Clear 
2025-05-05,2025-05-05 04:00,22.9,45,8.3,Clear 
2025-05-05,2025-05-05 05:00,22.7,44,5.4,Clear 
2025-05-05,2025-05-05 06:00,23.6,43,4.7,Sunny
2025-05-05,2025-05-05 07:00,26.0,37,4.7,Sunny
2025-05-05,2025-05-05 08:00,28.0,32,1.4,Sunny
2025-05-05,2025-05-05 09:00,29.6,29,5.0,Sunny
2025-05-05,2025-05-05 10:00,31.2,27,7.6,Sunny
2025-05-05,2025-05-05 11:00,32.3,25,10.1,Sunny
2025-05-05,2025-05-05 12:00,33.2,24,11.9,Partly Cloudy 
2025-05-05,2025-05-05 13:00,33.9,22,13.0,Partly Cloudy 
2025-05-05,2025-05-05 14:00,33.8,22,13.0,Partly Cloudy 
2025-05-05,2025-05-05 15:00,33.3,23,10.4,Partly Cloudy 
2025-05-05,2025-05-05 16:00,33.1,23,7.9,Partly Cloudy 
2025-05-05,2025-05-05 17:00,33.2,22,6.5,Sunny
2025-05-05,2025-05-05 18:00,32.5,24,6.8,Sunny
2025-05-05,2025-05-05 19:00,29.3,28,7.6,Clear 
2025-05-05,2025-05-05 20:00,28.4,30,5.8,Clear 
2025-05-05,2025-05-05 21:00,28.1,31,6.5,Clear 
2025-05-05,2025-05-05 22:00,27.3,33,8.6,Clear 
2025-05-05,2025-05-05 23:00,27.0,35,7.2,Clear 
2025-05-06,2025-05-06 00:00,26.5,37,5.8,Clear 
2025-05-06,2025-05-06 01:00,26.2,38,7.6,Clear 
2025-05-06,2025-05-06 02:00,25.9,39,8.6,Clear 
2025-05-06,2025-05-06 03:00,25.7,39,7.2,Clear 
2025-05-06,2025-05-06 04:00,25.3,40,7.6,Clear 
2025-05-06,2025-05-06 05:00,25.4,39,8.3,Partly Cloudy 
2025-05-06,2025-05-06 06:00,25.3,39,7.9,Sunny
2025-05-06,2025-05-06 07:00,28.1,34,7.2,Sunny
2025-05-06,2025-05-06 08:00,30.0,30,7.9,Sunny
2025-05-06,2025-05-06 09:00,31.5,27,8.6,Sunny
2025-05-06,2025-05-06 10:00,32.9,24,9.0,Sunny
2025-05-06,2025-05-06 11:00,33.9,23,10.1,Sunny
2025-05-06,2025-05-06 12:00,34.6,21,9.0,Partly Cloudy 
2025-05-06,2025-05-06 13:00,34.8,20,6.5,Partly Cloudy 
2025-05-06,2025-05-06 14:00,34.9,20,4.0,Partly Cloudy 
2025-05-06,2025-05-06 15:00,35.3,19,3.6,Sunny
2025-05-06,2025-05-06 16:00,35.3,19,4.0,Sunny
2025-05-06,2025-05-06 17:00,35.1,19,6.5,Sunny
2025-05-06,2025-05-06 18:00,34.2,22,7.2,Sunny
2025-05-06,2025-05-06 19:00,31.5,25,7.9,Clear 
2025-05-06,2025-05-06 20:00,29.8,29,9.7,Clear 
2025-05-06,2025-05-06 21:00,28.9,31,11.2,Clear 
2025-05-06,2025-05-06 22:00,28.1,34,11.9,Clear 
2025-05-06,2025-05-06 23:00,27.8,36,11.5,Clear 
2025-05-07,2025-05-07 00:00,27.3,37,11.5,Clear 
2025-05-07,2025-05-07 01:00,26.9,37,11.9,Clear 
2025-05-07,2025-05-07 02:00,26.7,38,11.2,Clear 
2025-05-07,2025-05-07 03:00,26.0,39,9.7,Clear 
2025-05-07,2025-05-07 04:00,25.6,39,8.6,Clear 
2025-05-07,2025-05-07 05:00,25.5,39,9.7,Clear 
2025-05-07,2025-05-07 06:00,26.3,38,9.4,Sunny
2025-05-07,2025-05-07 07:00,29.3,31,8.6,Sunny
2025-05-07,2025-05-07 08:00,31.3,28,10.4,Sunny
2025-05-07,2025-05-07 09:00,32.9,25,11.9,Sunny
2025-05-07,2025-05-07 10:00,34.5,23,14.0,Sunny
2025-05-07,2025-05-07 11:00,35.7,21,15.1,Sunny
2025-05-07,2025-05-07 12:00,36.5,20,14.4,Sunny
